seed,condition,training_blocks,p_choose_A,value_A,value_B
2,nonselective_reward,26,0.4970078090318832,0.6933718650117439,0.6957656463625361
2,nonselective_reward,27,0.49706671230636756,0.7064363965846133,0.7087830536611692
2,nonselective_reward,28,0.49712802481302704,0.7189156734505783,0.7212132788686514
2,nonselective_reward,29,0.49719127659510864,0.7308380193959236,0.7330850217552862
2,nonselective_reward,30,0.49725604578191585,0.742230240029399,0.7444254254416114
2,nonselective_reward,31,0.4973219543691858,0.7531177137110453,0.7552601707032509
2,nonselective_reward,32,0.4973886643483157,0.7635244764760525,0.7656135639917275
2,nonselective_reward,33,0.4974558741563581,0.773473301379485,0.7755086196195232
2,nonselective_reward,34,0.4975233154209308,0.7829857726561222,0.7849671365243097
2,nonselective_reward,35,0.49759074997624864,0.7920823550604794,0.7940097699964427
2,nonselective_reward,36,0.49765796712838145,0.8007824587251113,0.8026560987253349
2,nonselective_reward,37,0.4977247811495765,0.809104499850381,0.8109246874940175
2,nonselective_reward,38,0.49779102898310407,0.8170659575158568,0.8188331458268853
2,nonselective_reward,39,0.49785656814154855,0.8246834268822095,0.8263981828731604
2,nonselective_reward,40,0.49792127478284226,0.8319726690328163,0.8336356587878434
3,reward_A,0,0.5,0.0,0.0
3,reward_A,1,0.5878367066879128,0.07999999999999996,0.008994082840236839
3,reward_A,2,0.6641083786818919,0.15359999999999985,0.017268639053254597
3,reward_A,3,0.7275353773833836,0.22131199999999995,0.024881230769230878
3,reward_A,4,0.7787869279040854,0.2836070399999999,0.03188481514792907
3,reward_A,5,0.8194982544970868,0.34091847679999976,0.03832811277633141
3,reward_A,6,0.8515670956354952,0.39364499865599967,0.044255946594461526
3,reward_A,7,0.8767729228892844,0.4421533987635198,0.04970955370714136
3,reward_A,8,0.8966246952353223,0.48678112686243813,0.054726872250806635
3,reward_A,9,0.9123345714467002,0.5278386367134431,0.05934280531097891
3,reward_A,10,0.9248475648922289,0.5656115457763677,0.06358946372633723
3,reward_A,11,0.9348888090651344,0.6003626221142582,0.06749638946846714
3,reward_A,12,0.9430107084669523,0.6323336123451175,0.07109076115122648
3,reward_A,13,0.9496333494387287,0.6617469233575081,0.07439758309936484
3,reward_A,14,0.9550767639588289,0.6888071694889075,0.07743985929165242
3,reward_A,15,0.9595857491210578,0.7137025959297948,0.08023875338855702
3,reward_A,16,0.9633485840481398,0.7366063882554112,0.08281373595770891
3,reward_A,17,0.96651100431176,0.7576778771949784,0.08518271992132909
3,reward_A,18,0.9691865942227569,0.7770636470193801,0.08736218516785932
3,reward_A,19,0.9714645141315257,0.7948985552578296,0.08936729319466741
3,reward_A,20,0.9734152595849647,0.8113066708372033,0.09121199257933066
3,reward_A,21,0.9750949706193701,0.826402137170227,0.09290911601322083
